W1Mag,W1Std,W1Err,W2Mag,W2Std,W2Err,MJD
11.65,0.03,0.02,11.74,0.01,0.03,56890.4149068293
11.65,0.04,0.02,11.74,0.00,0.03,57147.24913
11.65,0.04,0.02,11.71,0.01,0.03,57340.9701307407
11.67,0.04,0.02,11.74,0.00,0.03,57506.15246
11.67,0.00,0.02,11.73,0.01,0.03,57705.2933005
11.68,0.00,0.02,11.65,0.01,0.03,57866.6614686667
11.68,0.00,0.02,11.76,0.00,0.03,58072.26637
11.31,0.00,0.02,10.89,0.01,0.02,58227.44928
11.24,0.00,0.02,10.91,0.00,0.02,58436.51589
11.27,0.00,0.02,10.91,0.00,0.02,58594.1377225
11.22,0.00,0.02,10.91,0.00,0.02,58801.01068
11.24,0.00,0.02,10.92,0.00,0.02,58958.37843
11.37,0.00,0.02,11.15,0.01,0.03,59167.81229
11.35,0.00,0.02,11.16,0.01,0.03,59322.89972
11.42,0.00,0.02,11.24,0.00,0.03,59531.91713